task,fold,inner_or_outer,project,validation_start,rows_before,rows_after_label_filter,rows_before_cutoff,rows_after_cutoff,rows_after_exact_duplicate_purge,rows_after_normalized_duplicate_purge,max_timestamp_after_cutoff,cutoff_violations_after_filter,source_validation_overlap_after_purge
s6,3,inner_2,TPTP,2008-06-10 18:02:48+00:00,10579,9458,9458,7970,7970,7970,2008-06-10 17:49:12+00:00,0,0
s3,1,outer,TPTP,2007-03-21 20:51:32+00:00,10579,9458,9458,5837,5836,5836,2007-03-21 20:24:08+00:00,0,0
s3,1,inner_1,TPTP,2006-02-24 21:14:22+00:00,10579,9458,9458,2675,2675,2675,2006-02-24 20:43:31+00:00,0,0
s3,1,inner_2,TPTP,2006-10-10 17:41:17+00:00,10579,9458,9458,4852,4852,4852,2006-10-10 16:54:45+00:00,0,0
s3,2,outer,TPTP,2008-06-10 18:02:48+00:00,10579,9458,9458,7970,7970,7970,2008-06-10 17:49:12+00:00,0,0
s3,2,inner_1,TPTP,2006-10-10 17:41:17+00:00,10579,9458,9458,4852,4852,4852,2006-10-10 16:54:45+00:00,0,0
s3,2,inner_2,TPTP,2007-07-20 06:28:17+00:00,10579,9458,9458,6747,6746,6746,2007-07-19 21:42:06+00:00,0,0
s3,3,outer,TPTP,2010-05-11 09:41:58+00:00,10579,9458,9458,9214,9214,9214,2010-05-10 14:10:29+00:00,0,0
s3,3,inner_1,TPTP,2007-03-21 20:51:32+00:00,10579,9458,9458,5837,5836,5836,2007-03-21 20:24:08+00:00,0,0
s3,3,inner_2,TPTP,2008-06-10 18:02:48+00:00,10579,9458,9458,7970,7970,7970,2008-06-10 17:49:12+00:00,0,0
s2,1,outer,TPTP,2007-03-21 20:51:32+00:00,10579,9458,9458,5837,5836,5836,2007-03-21 20:24:08+00:00,0,0
s2,1,inner_1,TPTP,2006-02-24 21:14:22+00:00,10579,9458,9458,2675,2675,2675,2006-02-24 20:43:31+00:00,0,0
s2,1,inner_2,TPTP,2006-10-10 17:41:17+00:00,10579,9458,9458,4852,4852,4852,2006-10-10 16:54:45+00:00,0,0
s2,2,outer,TPTP,2008-06-10 18:02:48+00:00,10579,9458,9458,7970,7970,7970,2008-06-10 17:49:12+00:00,0,0
s2,2,inner_1,TPTP,2006-10-10 17:41:17+00:00,10579,9458,9458,4852,4852,4852,2006-10-10 16:54:45+00:00,0,0
s2,2,inner_2,TPTP,2007-07-20 06:28:17+00:00,10579,9458,9458,6747,6746,6746,2007-07-19 21:42:06+00:00,0,0
s2,3,outer,TPTP,2010-05-11 09:41:58+00:00,10579,9458,9458,9214,9214,9214,2010-05-10 14:10:29+00:00,0,0
s2,3,inner_1,TPTP,2007-03-21 20:51:32+00:00,10579,9458,9458,5837,5836,5836,2007-03-21 20:24:08+00:00,0,0
s2,3,inner_2,TPTP,2008-06-10 18:02:48+00:00,10579,9458,9458,7970,7970,7970,2008-06-10 17:49:12+00:00,0,0
